"AMBIKAPUR (ABKP)","ABKP"
"ADILABAD (ADB)","ADB"
"AHMEDABAD JN (ADI)","ADI"
"ADRA JN (ADRA)","ADRA"
"AGRA FORT (AF)","AF"
"AGRA CANTT (AGC)","AGC"
"AGARTALA (AGTL)","AGTL"
"AJMER JN (AII)","AII"
"ALLAHABAD JN (ALD)","ALD"
"ALLEPPEY (ALLP)","ALLP"
"ALLAHABAD CITY (ALY)","ALY"
"AZAMGARH (AMH)","AMH"
"AMRAVATI (AMI)","AMI"
"ADRSH NGR DELHI (ANDI)","ANDI"
"ANAND VIHAR (ANVR)","ANVR"
"ANAND VIHAR TRM (ANVT)","ANVT"
"ALIPUR DUAR JN (APDJ)","APDJ"
"AISHBAGH (ASH)","ASH"
"ASANSOL JN (ASN)","ASN"
"AMRITSAR JN (ASR)","ASR"
"ATARI (ATT)","ATT"
"AURANGABAD (AWB)","AWB"
"AZIMGANJ JN (AZ)","AZ"
"BANKA (BAKA)","BAKA"
"BARABIL (BBN)","BBN"
"BHUBANESWAR (BBS)","BBS"
"MUMBAI CENTRAL (BCT)","BCT"
"BANDRA TERMINUS (BDTS)","BDTS"
"BAREILLY (BE)","BE"
"BAGALKOT (BGK)","BGK"
"BHAGAT KI KOTHI (BGKT)","BGKT"
"BHAGALPUR (BGP)","BGP"
"BOLPUR S NIKTN (BHP)","BHP"
"BHUJ (BHUJ)","BHUJ"
"BHIND (BIX)","BIX"
"BIJAPUR (BJP)","BJP"
"BARAUNI JN (BJU)","BJU"
"BIKANER JN (BKN)","BKN"
"VALSAD (BL)","BL"
"BALURGHAT (BLGT)","BLGT"
"BARMER (BME)","BME"
"BHIWANI (BNW)","BNW"
"BERHAMPORE CRT (BPC)","BPC"
"BHOPAL  JN (BPL)","BPL"
"BARIPADA (BPO)","BPO"
"BALHARSHAH (BPQ)","BPQ"
"VADODARA JN (BRC)","BRC"
"BARKA KANA (BRKA)","BRKA"
"BARWADIH JN (BRWD)","BRWD"
"VARANASI JN (BSB)","BSB"
"BHUSAVAL JN (BSL)","BSL"
"BILASPUR JN (BSP)","BSP"
"BALAGHAT JN (BTC)","BTC"
"BHATINDA JN (BTI)","BTI"
"BALLIA (BUI)","BUI"
"BHAVNAGAR TRMUS (BVC)","BVC"
"VIJAYAWADA JN (BZA)","BZA"
"KANNUR (CAN)","CAN"
"KANYAKUMARI (CAPE)","CAPE"
"COIMBATORE JN (CBE)","CBE"
"KAKINADA TOWN (CCT)","CCT"
"CHANDIGARH (CDG)","CDG"
"CHIRMIRI (CHRM)","CHRM"
"KOZHIKKODE (CLT)","CLT"
"KANPUR CENTRAL (CNB)","CNB"
"KAKINADA PORT (COA)","COA"
"KANPUR ANWRGANJ (CPA)","CPA"
"CHHAPRA (CPR)","CPR"
"MUMBAI CST (CSTM)","CSTM"
"CHITTOR (CTO)","CTO"
"CHHINDWARA JN (CWA)","CWA"
"DHARMABAD (DAB)","DAB"
"DARBHANGA JN (DBG)","DBG"
"DIBRUGARH (DBRG)","DBRG"
"DIBRUGARH TOWN (DBRT)","DBRT"
"DEHRADUN (DDN)","DDN"
"DADAR (DDR)","DDR"
"DELHI S ROHILLA (DEE)","DEE"
"DIGHA FLAG STN (DGHA)","DGHA"
"DHACA CANTT (DHCA)","DHCA"
"DHULE (DHI)","DHI"
"DHANBAD JN (DHN)","DHN"
"DARJEELING (DJ)","DJ"
"TO DARJEELING (DJRZ)","DJRZ"
"DELHI (DLI)","DLI"
"DHEMAJI (DMC)","DMC"
"DIMAPUR (DMV)","DMV"
"DANAPUR (DNR)","DNR"
"DADAR (DR)","DR"
"DURG (DURG)","DURG"
"DHARWAR (DWR)","DWR"
"ERODE JN (ED)","ED"
"ERANAKULAM JN (ERS)","ERS"
"ITARSI JN (ET)","ET"
"FAIZABAD JN (FD)","FD"
"FIROZPUR CANT (FZR)","FZR"
"GONDIA JN (G)","G"
"GAYA JN (GAYA)","GAYA"
"GONDA JN (GD)","GD"
"GADAG JN (GDG)","GDG"
"GUDUR JN (GDR)","GDR"
"GUWAHATI (GHY)","GHY"
"GANDHIDHAM BG (GIMB)","GIMB"
"GORAKHPUR JN (GKP)","GKP"
"GUNTUR JN (GNT)","GNT"
"GIRIDIH (GRD)","GRD"
"GURUVAYUR (GUV)","GUV"
"GWALIOR (GWL)","GWL"
"HAPA (HAPA)","HAPA"
"HABIBGANJ (HBJ)","HBJ"
"HALDIBARI (HDB)","HDB"
"HANUMANGARH JN (HMH)","HMH"
"HISAR (HSR)","HSR"
"HOSHIARPUR (HSX)","HSX"
"HATIA (HTE)","HTE"
"HINDUPUR (HUP)","HUP"
"HARIDWAR JN (HW)","HW"
"HOWRAH JN (HWH)","HWH"
"HYDERABAD DECAN (HYB)","HYB"
"INDORE JN BG (INDB)","INDB"
"ISLAMPUR (IPR)","IPR"
"JAMNAGAR (JAM)","JAM"
"JAMMU TAWI (JAT)","JAT"
"JOGBANI (JBN)","JBN"
"JABALPUR (JBP)","JBP"
"JHARGRAM (JGM)","JGM"
"JHANSI JN (JHS)","JHS"
"JAMALPUR JN (JMP)","JMP"
"JAIPUR (JP)","JP"
"JAISALMER (JSM)","JSM"
"JODHPUR JN (JU)","JU"
"JALANDHAR CITY (JUC)","JUC"
"JAYNAGAR (JYG)","JYG"
"KACHEGUDA (KCG)","KCG"
"KOCHUVELI (KCVL)","KCVL"
"KENDUJHARGARH (KDJR)","KDJR"
"KATHGODAM (KGM)","KGM"
"KURSEONG (KGN)","KGN"
"KHARAGPUR JN (KGP)","KGP"
"KATIHAR JN (KIR)","KIR"
"KALKA (KLK)","KLK"
"KUMBAKONAM (KMU)","KMU"
"KISHANGANJ (KNE)","KNE"
"KOLKATA (KOAA)","KOAA"
"C SHAHUMHARAJ T (KOP)","KOP"
"KOTA JN (KOTA)","KOTA"
"KORBA (KRBA)","KRBA"
"KIRANDUL (KRDL)","KRDL"
"KURNOOL TOWN (KRNT)","KRNT"
"KORAPUT (KRPU)","KRPU"
"KASGANJ (KSJ)","KSJ"
"KOTDWARA (KTW)","KTW"
"KHAJURAHO (KURJ)","KURJ"
"KAMAKHYA (KYQ)","KYQ"
"LEDO (LEDO)","LEDO"
"LOWER HAFLONG (LFG)","LFG"
"LALGOLA (LGL)","LGL"
"LUCKNOW (LJN)","LJN"
"LUCKNOW (LKO)","LKO"
"LAL KUAN (LKU)","LKU"
"LUMDING JN (LMG)","LMG"
"LOKMANYATILAK T (LTT)","LTT"
"LATUR (LUR)","LUR"
"MANGALORE JN (MAJN)","MAJN"
"MADGAON (MAO)","MAO"
"MANGALORE CNTL (MAQ)","MAQ"
"CHENNAI CENTRAL (MAS)","MAS"
"MUNABAO (MBF)","MBF"
"MADURAI JN (MDU)","MDU"
"MUZAFFARPUR JN (MFP)","MFP"
"MAHUVA JN (MHV)","MHV"
"MOTIHARI (MKI)","MKI"
"MANIKPUR JN (MKP)","MKP"
"MALDA TOWN (MLDT)","MLDT"
"MANMAD JN (MMR)","MMR"
"MIRAJ JN (MRJ)","MRJ"
"CHENNAI EGMORE (MS)","MS"
"MEERUT CITY (MTC)","MTC"
"METUR DAM (MTDM)","MTDM"
"MATHURA JN (MTJ)","MTJ"
"MACHELIPATNAM (MTM)","MTM"
"METUPALAIYAM (MTP)","MTP"
"MANDUADIH (MUV)","MUV"
"MAYILADUTURAI J (MV)","MV"
"MARIANI JN (MXN)","MXN"
"MYSORE JN (MYS)","MYS"
"NEW COOCH BEHAR (NCB)","NCB"
"NAGERCOIL JN (NCJ)","NCJ"
"NAGORE (NCR)","NCR"
"NANDURBAR (NDB)","NDB"
"NEW DELHI (NDLS)","NDLS"
"NANDED (NED)","NED"
"NEW FARAKKA JN (NFK)","NFK"
"NAGPUR (NGP)","NGP"
"NAGAPPATTINAM (NGT)","NGT"
"NEW JALPAIGURI (NJP)","NJP"
"NIMACH (NMH)","NMH"
"NEW ALIPURDAUR (NOQ)","NOQ"
"NARASAPUR (NS)","NS"
"NAUTANWA (NTV)","NTV"
"NIZAMABAD (NZB)","NZB"
"H NIZAMUDDIN (NZM)","NZM"
"OKHA (OKHA)","OKHA"
"PURNA JN (PAU)","PAU"
"PARTAPGARH JN (PBH)","PBH"
"PORBANDAR (PBR)","PBR"
"PONDICHERRY (PDY)","PDY"
"PALGHAT TOWN (PGTN)","PGTN"
"PATNA JN (PNBE)","PNBE"
"PANIPAT JN (PNP)","PNP"
"PRAYAG (PRG)","PRG"
"PURULIA JN (PRR)","PRR"
"PATHANKOT (PTK)","PTK"
"PUNE JN2 (PUNE)","PUNE"
"PURI (PURI)","PURI"
"PANDHARPUR (PVR)","PVR"
"QUILON JN (QLN)","QLN"
"RAIPUR JN (R)","R"
"RAE BARELI JN (RBL)","RBL"
"RADHIKAPUR (RDP)","RDP"
"REWA (REWA)","REWA"
"RAJGIR (RGD)","RGD"
"RAYAGADA (RGDA)","RGDA"
"RAIGARH (RIG)","RIG"
"RJNDR NGR BIHAR (RJPB)","RJPB"
"RAJKOT JN (RJT)","RJT"
"RISHIKESH (RKSH)","RKSH"
"RAMESWARAM (RMM)","RMM"
"RAMNAGAR (RMR)","RMR"
"RANCHI (RNC)","RNC"
"RANGIYA JN (RNY)","RNY"
"ROHTAK JN (ROK)","ROK"
"ROURKELA (ROU)","ROU"
"RAMPUR HAT (RPH)","RPH"
"RATANGARH JN (RTGH)","RTGH"
"RATLAM JN (RTM)","RTM"
"RAXUAL JN (RXL)","RXL"
"BANGALORE CY JN (SBC)","SBC"
"SAHIBGANJ JN (SBG)","SBG"
"SAMBALPUR (SBP)","SBP"
"SECUNDERABAD JN (SC)","SC"
"SILCHAR (SCL)","SCL"
"SENGOTTAI (SCT)","SCT"
"SEALDAH (SDAH)","SDAH"
"SADULPUR JN (SDLP)","SDLP"
"SONPUR JN (SEE)","SEE"
"SHRI GANGANAGAR (SGNR)","SGNR"
"SINGRAULI (SGRL)","SGRL"
"SILIGURI JN (SGUJ)","SGUJ"
"SAHARSA JN (SHC)","SHC"
"SHALIMAR (SHM)","SHM"
"SHAKTI NAGAR (SKTN)","SKTN"
"SIRPUR KAGAZNGR (SKZR)","SKZR"
"SULTANPUR (SLN)","SLN"
"SHIMOGA TOWN (SMET)","SMET"
"SITAMARHI (SMI)","SMI"
"SIMLA (SML)","SML"
"SOMNATH (SMNH)","SMNH"
"SAINAGAR SHIRDI (SNSI)","SNSI"
"SANTRAGACHI JN (SRC)","SRC"
"SAHARANPUR (SRE)","SRE"
"SHORANUR JN (SRR)","SRR"
"SAI P NILAYAM (SSPN)","SSPN"
"SURAT (ST)","ST"
"SOLAPUR JN (SUR)","SUR"
"SIURI (SURI)","SURI"
"SAWANTWADI ROAD (SWV)","SWV"
"TATANAGAR JN (TATA)","TATA"
"TIRUCHENDUR (TCN)","TCN"
"TIRUNELVELI (TEN)","TEN"
"TITLAGARH (TIG)","TIG"
"TUTICORIN (TN)","TN"
"TIRUCHCHIRAPALI JN (TPJ)","TPJ"
"TIRUPATI (TPTY)","TPTY"
"TANAKPUR (TPU)","TPU"
"TRIVANDRUM CNTL (TVC)","TVC"
"UDAGAMANDALAM (UAM)","UAM"
"HUBLI JN (UBL)","UBL"
"UDAIPUR CITY (UDZ)","UDZ"
"UNA HIMACHAL (UHL)","UHL"
"UDHAMPUR (UHP)","UHP"
"UJJAIN JN (UJN)","UJN"
"AMBALA CANT JN (UMB)","UMB"
"VIKARABAD JN (VKB)","VKB"
"VERAVAL (VRL)","VRL"
"VASCO DA GAMA (VSG)","VSG"
"VISHAKAPATNAM (VSKP)","VSKP"
"YESVANTPUR JN (YPR)","YPR"
